Atome,Numéro de l'atome,Frame
O,1,0
O,4,0
O,7,0
O,10,0
O,13,0
O,16,0
O,1,1
O,4,1
O,7,1
O,10,1
O,13,1
O,16,1
O,1,2
O,4,2
O,7,2
O,10,2
O,13,2
O,16,2
O,1,3
O,4,3
O,7,3
O,10,3
O,13,3
O,16,3
O,1,4
O,4,4
O,7,4
O,10,4
O,13,4
O,16,4
O,1,5
O,4,5
O,7,5
O,10,5
O,13,5
O,16,5
O,1,6
O,4,6
O,7,6
O,10,6
O,13,6
O,16,6
O,1,7
O,4,7
O,7,7
O,10,7
O,13,7
O,16,7
O,1,8
O,4,8
O,7,8
O,10,8
O,13,8
O,16,8
O,1,9
O,4,9
O,7,9
O,10,9
O,13,9
O,16,9
O,1,10
O,4,10
O,7,10
O,10,10
O,13,10
O,16,10
O,1,11
O,4,11
O,7,11
O,10,11
O,13,11
O,16,11
O,1,12
O,4,12
O,7,12
O,10,12
O,13,12
O,16,12
O,1,13
O,4,13
O,7,13
O,10,13
O,13,13
O,16,13
O,1,14
O,4,14
O,7,14
O,10,14
O,13,14
O,16,14
O,1,15
O,4,15
O,7,15
O,10,15
O,13,15
O,16,15
O,1,16
O,4,16
O,7,16
O,10,16
O,13,16
O,16,16
O,1,17
O,4,17
O,7,17
O,10,17
O,13,17
O,16,17
O,1,18
O,4,18
O,7,18
O,10,18
O,13,18
O,16,18
O,1,19
O,4,19
O,7,19
O,10,19
O,13,19
O,16,19
O,1,20
O,4,20
O,7,20
O,10,20
O,13,20
O,16,20
O,1,21
O,4,21
O,7,21
O,10,21
O,13,21
O,16,21
O,1,22
O,4,22
O,7,22
O,10,22
O,13,22
O,16,22
O,1,23
O,4,23
O,7,23
O,10,23
O,13,23
O,16,23
O,1,24
O,4,24
O,7,24
O,10,24
O,13,24
O,16,24
O,1,25
O,4,25
O,7,25
O,10,25
O,13,25
O,16,25
O,1,26
O,4,26
O,7,26
O,10,26
O,13,26
O,16,26
O,1,27
O,4,27
O,7,27
O,10,27
O,13,27
O,16,27
O,1,28
O,4,28
O,7,28
O,10,28
O,13,28
O,16,28
O,1,29
O,4,29
O,7,29
O,10,29
O,13,29
O,16,29
O,1,30
O,4,30
O,7,30
O,10,30
O,13,30
O,16,30
O,1,31
O,4,31
O,7,31
O,10,31
O,13,31
O,16,31
O,1,32
O,4,32
O,7,32
O,10,32
O,13,32
O,16,32
O,1,33
O,4,33
O,7,33
O,10,33
O,13,33
O,16,33
O,1,34
O,4,34
O,7,34
O,10,34
O,13,34
O,16,34
O,1,35
O,4,35
O,7,35
O,10,35
O,13,35
O,16,35
O,1,36
O,4,36
O,7,36
O,10,36
O,13,36
O,16,36
O,1,37
O,4,37
O,7,37
O,10,37
O,13,37
O,16,37
O,1,38
O,4,38
O,7,38
O,10,38
O,13,38
O,16,38
O,1,39
O,4,39
O,7,39
O,10,39
O,13,39
O,16,39
O,1,40
O,4,40
O,7,40
O,10,40
O,13,40
O,16,40
O,1,41
O,4,41
O,7,41
O,10,41
O,13,41
O,16,41
O,1,42
O,4,42
O,7,42
O,10,42
O,13,42
O,16,42
O,1,43
O,4,43
O,7,43
O,10,43
O,13,43
O,16,43
O,1,44
O,4,44
O,7,44
O,10,44
O,13,44
O,16,44
O,1,45
O,4,45
O,7,45
O,10,45
O,13,45
O,16,45
O,1,46
O,4,46
O,7,46
O,10,46
O,13,46
O,16,46
O,1,47
O,4,47
O,7,47
O,10,47
O,13,47
O,16,47
O,1,48
O,4,48
O,7,48
O,10,48
O,13,48
O,16,48
O,1,49
O,4,49
O,7,49
O,10,49
O,13,49
O,16,49
O,1,50
O,4,50
O,7,50
O,10,50
O,13,50
O,16,50
O,1,51
O,4,51
O,7,51
O,10,51
O,13,51
O,16,51
O,1,52
O,4,52
O,7,52
O,10,52
O,13,52
O,16,52
O,1,53
O,4,53
O,7,53
O,10,53
O,13,53
O,16,53
O,1,54
O,4,54
O,7,54
O,10,54
O,13,54
O,16,54
O,1,55
O,4,55
O,7,55
O,10,55
O,13,55
O,16,55
O,1,56
O,4,56
O,7,56
O,10,56
O,13,56
O,16,56
O,1,57
O,4,57
O,7,57
O,10,57
O,13,57
O,16,57
O,1,58
O,4,58
O,7,58
O,10,58
O,13,58
O,16,58
O,1,59
O,4,59
O,7,59
O,10,59
O,13,59
O,16,59
O,1,60
O,4,60
O,7,60
O,10,60
O,13,60
O,16,60
O,1,61
O,4,61
O,7,61
O,10,61
O,13,61
O,16,61
O,1,62
O,4,62
O,7,62
O,10,62
O,13,62
O,16,62
O,1,63
O,4,63
O,7,63
O,10,63
O,13,63
O,16,63
O,1,64
O,4,64
O,7,64
O,10,64
O,13,64
O,16,64
O,1,65
O,4,65
O,7,65
O,10,65
O,13,65
O,16,65
O,1,66
O,4,66
O,7,66
O,10,66
O,13,66
O,16,66
O,1,67
O,4,67
O,7,67
O,10,67
O,13,67
O,16,67
O,1,68
O,4,68
O,7,68
O,10,68
O,13,68
O,16,68
O,1,69
O,4,69
O,7,69
O,10,69
O,13,69
O,16,69
O,1,70
O,4,70
O,7,70
O,10,70
O,13,70
O,16,70
O,1,71
O,4,71
O,7,71
O,10,71
O,13,71
O,16,71
O,1,72
O,4,72
O,7,72
O,10,72
O,13,72
O,16,72
O,1,73
O,4,73
O,7,73
O,10,73
O,13,73
O,16,73
O,1,74
O,4,74
O,7,74
O,10,74
O,13,74
O,16,74
O,1,75
O,4,75
O,7,75
O,10,75
O,13,75
O,16,75
O,1,76
O,4,76
O,7,76
O,10,76
O,13,76
O,16,76
O,1,77
O,4,77
O,7,77
O,10,77
O,13,77
O,16,77
O,1,78
O,4,78
O,7,78
O,10,78
O,13,78
O,16,78
O,1,79
O,4,79
O,7,79
O,10,79
O,13,79
O,16,79
O,1,80
O,4,80
O,7,80
O,10,80
O,13,80
O,16,80
O,1,81
O,4,81
O,7,81
O,10,81
O,13,81
O,16,81
O,1,82
O,4,82
O,7,82
O,10,82
O,13,82
O,16,82
O,1,83
O,4,83
O,7,83
O,10,83
O,13,83
O,16,83
O,1,84
O,4,84
O,7,84
O,10,84
O,13,84
O,16,84
O,1,85
O,4,85
O,7,85
O,10,85
O,13,85
O,16,85
O,1,86
O,4,86
O,7,86
O,10,86
O,13,86
O,16,86
O,1,87
O,4,87
O,7,87
O,10,87
O,13,87
O,16,87
O,1,88
O,4,88
O,7,88
O,10,88
O,13,88
O,16,88
O,1,89
O,4,89
O,7,89
O,10,89
O,13,89
O,16,89
O,1,90
O,4,90
O,7,90
O,10,90
O,13,90
O,16,90
O,1,91
O,4,91
O,7,91
O,10,91
O,13,91
O,16,91
O,1,92
O,4,92
O,7,92
O,10,92
O,13,92
O,16,92
O,1,93
O,4,93
O,7,93
O,10,93
O,13,93
O,16,93
O,1,94
O,4,94
O,7,94
O,10,94
O,13,94
O,16,94
O,1,95
O,4,95
O,7,95
O,10,95
O,13,95
O,16,95
O,1,96
O,4,96
O,7,96
O,10,96
O,13,96
O,16,96
O,1,97
O,4,97
O,7,97
O,10,97
O,13,97
O,16,97
O,1,98
O,4,98
O,7,98
O,10,98
O,13,98
O,16,98
O,1,99
O,4,99
O,7,99
O,10,99
O,13,99
O,16,99
O,1,100
O,4,100
O,7,100
O,10,100
O,13,100
O,16,100
O,1,101
O,4,101
O,7,101
O,10,101
O,13,101
O,16,101
O,1,102
O,4,102
O,7,102
O,10,102
O,13,102
O,16,102
O,1,103
O,4,103
O,7,103
O,10,103
O,13,103
O,16,103
O,1,104
O,4,104
O,7,104
O,10,104
O,13,104
O,16,104
O,1,105
O,4,105
O,7,105
O,10,105
O,13,105
O,16,105
O,1,106
O,4,106
O,7,106
O,10,106
O,13,106
O,16,106
O,1,107
O,4,107
O,7,107
O,10,107
O,13,107
O,16,107
O,1,108
O,4,108
O,7,108
O,10,108
O,13,108
O,16,108
O,1,109
O,4,109
O,7,109
O,10,109
O,13,109
O,16,109
O,1,110
O,4,110
O,7,110
O,10,110
O,13,110
O,16,110
O,1,111
O,4,111
O,7,111
O,10,111
O,13,111
O,16,111
O,1,112
O,4,112
O,7,112
O,10,112
O,13,112
O,16,112
O,1,113
O,4,113
O,7,113
O,10,113
O,13,113
O,16,113
O,1,114
O,4,114
O,7,114
O,10,114
O,13,114
O,16,114
O,1,115
O,4,115
O,7,115
O,10,115
O,13,115
O,16,115
O,1,116
O,4,116
O,7,116
O,10,116
O,13,116
O,16,116
O,1,117
O,4,117
O,7,117
O,10,117
O,13,117
O,16,117
O,1,118
O,4,118
O,7,118
O,10,118
O,13,118
O,16,118
O,1,119
O,4,119
O,7,119
O,10,119
O,13,119
O,16,119
O,1,120
O,4,120
O,7,120
O,10,120
O,13,120
O,16,120
O,1,121
O,4,121
O,7,121
O,10,121
O,13,121
O,16,121
O,1,122
O,4,122
O,7,122
O,10,122
O,13,122
O,16,122
O,1,123
O,4,123
O,7,123
O,10,123
O,13,123
O,16,123
O,1,124
O,4,124
O,7,124
O,10,124
O,13,124
O,16,124
O,1,125
O,4,125
O,7,125
O,10,125
O,13,125
O,16,125
O,1,126
O,4,126
O,7,126
O,10,126
O,13,126
O,16,126
O,1,127
O,4,127
O,7,127
O,10,127
O,13,127
O,16,127
O,1,128
O,4,128
O,7,128
O,10,128
O,13,128
O,16,128
O,1,129
O,4,129
O,7,129
O,10,129
O,13,129
O,16,129
O,1,130
O,4,130
O,7,130
O,10,130
O,13,130
O,16,130
O,1,131
O,4,131
O,7,131
O,10,131
O,13,131
O,16,131
O,1,132
O,4,132
O,7,132
O,10,132
O,13,132
O,16,132
O,1,133
O,4,133
O,7,133
O,10,133
O,13,133
O,16,133
O,1,134
O,4,134
O,7,134
O,10,134
O,13,134
O,16,134
O,1,135
O,4,135
O,7,135
O,10,135
O,13,135
O,16,135
O,1,136
O,4,136
O,7,136
O,10,136
O,13,136
O,16,136
O,1,137
O,4,137
O,7,137
O,10,137
O,13,137
O,16,137
O,1,138
O,4,138
O,7,138
O,10,138
O,13,138
O,16,138
O,1,139
O,4,139
O,7,139
O,10,139
O,13,139
O,16,139
O,1,140
O,4,140
O,7,140
O,10,140
O,13,140
O,16,140
O,1,141
O,4,141
O,7,141
O,10,141
O,13,141
O,16,141
O,1,142
O,4,142
O,7,142
O,10,142
O,13,142
O,16,142
O,1,143
O,4,143
O,7,143
O,10,143
O,13,143
O,16,143
O,1,144
O,4,144
O,7,144
O,10,144
O,13,144
O,16,144
O,1,145
O,4,145
O,7,145
O,10,145
O,13,145
O,16,145
O,1,146
O,4,146
O,7,146
O,10,146
O,13,146
O,16,146
O,1,147
O,4,147
O,7,147
O,10,147
O,13,147
O,16,147
O,1,148
O,4,148
O,7,148
O,10,148
O,13,148
O,16,148
O,1,149
O,4,149
O,7,149
O,10,149
O,13,149
O,16,149
O,1,150
O,4,150
O,7,150
O,10,150
O,13,150
O,16,150
O,1,151
O,4,151
O,7,151
O,10,151
O,13,151
O,16,151
O,1,152
O,4,152
O,7,152
O,10,152
O,13,152
O,16,152
O,1,153
O,4,153
O,7,153
O,10,153
O,13,153
O,16,153
O,1,154
O,4,154
O,7,154
O,10,154
O,13,154
O,16,154
O,1,155
O,4,155
O,7,155
O,10,155
O,13,155
O,16,155
O,1,156
O,4,156
O,7,156
O,10,156
O,13,156
O,16,156
O,1,157
O,4,157
O,7,157
O,10,157
O,13,157
O,16,157
O,1,158
O,4,158
O,7,158
O,10,158
O,13,158
O,16,158
O,1,159
O,4,159
O,7,159
O,10,159
O,13,159
O,16,159
O,1,160
O,4,160
O,7,160
O,10,160
O,13,160
O,16,160
O,1,161
O,4,161
O,7,161
O,10,161
O,13,161
O,16,161
O,1,162
O,4,162
O,7,162
O,10,162
O,13,162
O,16,162
O,1,163
O,4,163
O,7,163
O,10,163
O,13,163
O,16,163
O,1,164
O,4,164
O,7,164
O,10,164
O,13,164
O,16,164
O,1,165
O,4,165
O,7,165
O,10,165
O,13,165
O,16,165
O,1,166
O,4,166
O,7,166
O,10,166
O,13,166
O,16,166
O,1,167
O,4,167
O,7,167
O,10,167
O,13,167
O,16,167
O,1,168
O,4,168
O,7,168
O,10,168
O,13,168
O,16,168
O,1,169
O,4,169
O,7,169
O,10,169
O,13,169
O,16,169
O,1,170
O,4,170
O,7,170
O,10,170
O,13,170
O,16,170
O,1,171
O,4,171
O,7,171
