Distance (A),Integral
0.0,0.0
0.02,0.0
0.04,0.0
0.06,0.0
0.08,0.0
0.1,0.0
0.12,0.0
0.14,0.0
0.16,0.0
0.18,0.0
0.2,0.0
0.22,0.0
0.24,0.0
0.26,0.0
0.28,0.0
0.3,0.0
0.32,0.0
0.34,0.0
0.36,0.0
0.38,0.0
0.4,0.0
0.42,0.0
0.44,0.0
0.46,0.0
0.48,0.0
0.5,0.0
0.52,0.0
0.54,0.0
0.56,0.0
0.58,0.0
0.6,0.0
0.62,0.0
0.64,0.0
0.66,0.0
0.68,0.0
0.7000000000000001,0.0
0.72,0.0
0.74,0.0
0.76,0.0
0.78,0.0
0.8,0.0
0.8200000000000001,0.0
0.84,0.0
0.86,0.0
0.88,0.0
0.9,0.0
0.92,0.0
0.9400000000000001,0.0
0.96,0.0
0.98,0.0
1.0,0.0
1.02,0.0
1.04,0.0
1.06,0.0
1.08,0.0
1.1,0.0
1.12,0.0
1.1400000000000001,0.0
1.16,0.0
1.18,0.0
1.2,0.0
1.22,0.0
1.24,0.0
1.26,0.0
1.28,0.0
1.3,0.0
1.32,0.0
1.34,0.0
1.36,0.0
1.3800000000000001,0.0
1.4000000000000001,0.0
1.42,0.0
1.44,0.0
1.46,0.0
1.48,0.0
1.5,0.0
1.52,0.0
1.54,0.0
1.56,0.0
1.58,0.0
1.6,0.0
1.62,0.0
1.6400000000000001,0.0
1.6600000000000001,0.0
1.68,0.0
1.7,0.0
1.72,0.0
1.74,0.0
1.76,0.0
1.78,0.0
1.8,0.0
1.82,0.0
1.84,0.0
1.86,0.0
1.8800000000000001,0.125
1.9000000000000001,0.5
1.92,1.5625
1.94,1.875
1.96,2.5
1.98,3.0625
2.0,3.5
2.02,3.625
2.04,4.125
2.06,4.625
2.08,4.6875
2.1,4.8125
2.12,5.625
2.14,5.625
2.16,5.625
2.18,5.625
2.2,5.625
2.22,5.625
2.24,5.625
2.2600000000000002,5.625
2.2800000000000002,5.625
2.3000000000000003,5.625
2.32,5.625
2.34,5.625
2.36,5.625
2.38,5.625
2.4,5.625
2.42,5.625
2.44,5.625
2.46,5.625
2.48,5.625
2.5,5.625
2.52,5.625
2.54,5.625
2.56,5.625
2.58,5.625
2.6,5.625
2.62,5.625
2.64,5.625
2.66,5.625
2.68,5.625
2.7,5.625
2.72,5.625
2.74,5.625
2.7600000000000002,5.625
2.7800000000000002,5.625
2.8000000000000003,5.625
2.82,5.625
2.84,5.625
2.86,5.625
2.88,5.625
2.9,5.625
2.92,5.625
2.94,5.625
2.96,5.625
2.98,5.625
3.0,5.625
3.02,5.625
3.04,5.625
3.06,5.625
3.08,5.625
3.1,5.625
3.12,5.625
3.14,5.625
3.16,5.625
3.18,5.625
3.2,5.625
3.22,5.625
3.24,5.625
3.2600000000000002,5.625
3.2800000000000002,5.625
3.3000000000000003,5.625
3.3200000000000003,5.625
3.34,5.625
3.36,5.625
3.38,5.625
3.4,5.625
3.42,5.625
3.44,5.625
3.46,5.625
3.48,5.625
3.5,5.625
3.52,5.625
3.54,5.625
3.56,5.625
3.58,5.625
3.6,5.625
3.62,5.625
3.64,5.625
3.66,5.625
3.68,5.625
3.7,5.625
3.72,5.625
3.74,5.625
3.7600000000000002,5.625
3.7800000000000002,5.625
3.8000000000000003,5.625
3.8200000000000003,5.625
3.84,5.625
3.86,5.625
3.88,5.625
3.9,5.625
3.92,5.625
3.94,5.625
3.96,5.625
3.98,5.625
4.0,5.625
4.0200000000000005,5.625
4.04,5.625
4.0600000000000005,5.625
4.08,5.625
4.1,5.625
4.12,5.625
4.14,5.625
4.16,5.625
4.18,5.625
4.2,5.625
4.22,5.625
4.24,5.625
4.26,5.625
4.28,5.625
4.3,5.625
4.32,5.625
4.34,5.625
4.36,5.625
4.38,5.625
4.4,5.625
4.42,5.625
4.44,5.625
4.46,5.625
4.48,5.625
4.5,5.625
4.5200000000000005,5.625
4.54,5.625
4.5600000000000005,5.625
4.58,5.625
4.6000000000000005,5.625
4.62,5.625
4.64,5.625
4.66,5.625
4.68,5.625
4.7,5.625
4.72,5.625
4.74,5.625
4.76,5.625
4.78,5.625
4.8,5.625
4.82,5.625
4.84,5.625
4.86,5.625
4.88,5.625
4.9,5.625
4.92,5.625
4.94,5.625
4.96,5.625
4.98,5.625
5.0,5.625
5.0200000000000005,5.625
5.04,5.625
5.0600000000000005,5.625
5.08,5.625
5.1000000000000005,5.625
5.12,5.625
5.14,5.625
5.16,5.625
5.18,5.625
5.2,5.625
5.22,5.625
5.24,5.625
5.26,5.625
5.28,5.625
5.3,5.625
5.32,5.625
5.34,5.625
5.36,5.625
5.38,5.625
5.4,5.625
5.42,5.625
5.44,5.625
5.46,5.625
5.48,5.625
5.5,5.625
5.5200000000000005,5.625
5.54,5.625
5.5600000000000005,5.625
5.58,5.625
5.6000000000000005,5.625
5.62,5.625
5.64,5.625
5.66,5.625
5.68,5.625
5.7,5.625
5.72,5.625
5.74,5.625
5.76,5.625
5.78,5.625
5.8,5.625
5.82,5.625
5.84,5.625
5.86,5.625
5.88,5.625
5.9,5.625
5.92,5.625
5.94,5.625
5.96,5.625
5.98,5.625
